Original Air Date,Title,Instructor,Length,Type
Tue Feb 25 17:01:00 2020,10 min Relaxing Meditation,Ross Rayburn,10.0,Relax & Sleep
Tue Feb 25 09:00:00 2020,Zen in Ten: Acceptance Meditation,Aditi Shah,10.0,Zen in Ten
Mon Feb 24 08:48:00 2020,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Mon Feb 24 08:08:00 2020,10 min Body Scan Meditation,Anna Greenberg,10.0,Mindfulness
Fri Feb 21 08:50:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Fri Feb 21 08:00:00 2020,5 min Seasonal Meditation,Anna Greenberg,5.0,Mindfulness
Thu Feb 20 16:00:00 2020,10 min Energizing Meditation,Aditi Shah,10.0,Emotions
Thu Feb 20 13:21:00 2020,5 min Level Up Meditation,Anna Greenberg,5.0,Fitness Focus
Thu Feb 20 08:49:00 2020,Zen in Ten: Peace Meditation,Ross Rayburn,10.0,Zen in Ten
Thu Feb 20 08:07:00 2020,5 min Breathing Meditation,Ross Rayburn,4.983333333333333,Mindfulness
Wed Feb 19 17:01:00 2020,10 min Calming Meditation,Anna Greenberg,10.0,Relax & Sleep
Wed Feb 19 13:59:00 2020,5 min Patience Meditation,Aditi Shah,5.0,Emotions
Wed Feb 19 08:48:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Wed Feb 19 07:00:00 2020,15 min Sleep Meditation,Kristin McGee,15.0,Relax & Sleep
Wed Feb 19 06:55:00 2020,10 min Sleep Meditation,Anna Greenberg,10.0,Relax & Sleep
Wed Feb 19 06:50:00 2020,10 min Sleep Meditation,Aditi Shah,10.0,Relax & Sleep
Wed Feb 19 06:45:00 2020,10 min Sleep Meditation,Ross Rayburn,10.0,Relax & Sleep
Wed Feb 19 06:40:00 2020,10 min Savasana Meditation,Anna Greenberg,10.0,Relax & Sleep
Wed Feb 19 06:35:00 2020,10 min Sleep Meditation,Aditi Shah,10.0,Relax & Sleep
Wed Feb 19 06:30:00 2020,5 min Sleep Meditation,Kristin McGee,5.0,Relax & Sleep
Wed Feb 19 06:25:00 2020,10 min Sleep Meditation,Ross Rayburn,10.0,Relax & Sleep
Wed Feb 19 06:20:00 2020,5 min Sleep Meditation,Anna Greenberg,5.0,Relax & Sleep
Wed Feb 19 06:15:00 2020,5 min Sleep Meditation,Aditi Shah,5.0,Relax & Sleep
Wed Feb 19 06:10:00 2020,5 min Sleep Meditation ,Kristin McGee,5.0,Relax & Sleep
Wed Feb 19 06:05:00 2020,5 min Sleep Meditation,Anna Greenberg,5.0,Relax & Sleep
Wed Feb 19 06:00:00 2020,5 min Savasana Meditation ,Ross Rayburn,5.0,Relax & Sleep
Wed Feb 19 05:55:00 2020,5 min Sleep Meditation,Aditi Shah,5.0,Relax & Sleep
Wed Feb 19 05:50:00 2020,5 min Intro to Sleep Meditation,Ross Rayburn,5.0,Relax & Sleep
Tue Feb 18 08:49:00 2020,Zen in Ten: Body Scan Meditation,Aditi Shah,10.0,Zen in Ten
Tue Feb 18 07:53:00 2020,5 min Empathy Meditation,Aditi Shah,4.983333333333333,Emotions
Mon Feb 17 08:50:00 2020,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Mon Feb 17 07:50:00 2020,10 min Acceptance Meditation,Anna Greenberg,10.0,Emotions
Sun Feb 16 08:57:00 2020,10 min Body Scan Meditation,Kristin McGee,10.0,Mindfulness
Fri Feb 14 12:30:00 2020,10 min Seasonal Meditation,Aditi Shah,10.0,Mindfulness
