Original Air Date,Title,Instructor,Length,Type
Fri Mar  6 05:21:00 2020,30 min Yoga Flow,Ross Rayburn,30.0,Yoga Flow
Fri Mar  6 04:47:00 2020,20 min Yoga Flow: Chest Openers,Ross Rayburn,20.0,Yoga Flow
Thu Mar  5 16:18:00 2020,45 min Flow & Let Go,Aditi Shah,45.0,Yoga Flow
Thu Mar  5 14:48:00 2020,30 min Yoga Flow: Glutes,Anna Greenberg,30.0,Yoga Flow
Thu Mar  5 09:16:00 2020,10 min Yoga Basics: Warrior 3,Ross Rayburn,10.0,Yoga Basics
Thu Mar  5 05:32:00 2020,20 min Yoga Flow,Kristin McGee,20.0,Yoga Flow
Thu Mar  5 04:49:00 2020,30 min Slow Flow,Kristin McGee,30.0,Yoga Flow
Wed Mar  4 16:18:00 2020,30 min Yoga Flow,Anna Greenberg,30.0,Yoga Flow
Wed Mar  4 15:31:00 2020,20 min Slow Flow,Aditi Shah,20.0,Yoga Flow
Wed Mar  4 14:49:00 2020,30 min Yoga Flow,Aditi Shah,30.0,Yoga Flow
Wed Mar  4 04:48:00 2020,60 min Yoga Flow,Kristin McGee,60.0,Yoga Flow
Tue Mar  3 16:18:00 2020,30 min Slow Flow,Ross Rayburn,30.0,Yoga Flow
Tue Mar  3 15:32:00 2020,20 min Restorative Yoga,Denis Morton,20.0,Restorative Yoga
Tue Mar  3 14:48:00 2020,30 min Reset,Denis Morton,30.0,Yoga Flow
Tue Mar  3 05:32:00 2020,20 min Yoga Flow,Anna Greenberg,20.0,Yoga Flow
Tue Mar  3 05:00:00 2020,30 min Yoga Flow,Anna Greenberg,30.0,Yoga Flow
Mon Mar  2 16:18:00 2020,30 min WHM Celebration Yoga Flow,Kristin McGee,30.0,Yoga Flow
Mon Mar  2 14:49:00 2020,30 min Yoga Flow,Ross Rayburn,30.0,Yoga Flow
Mon Mar  2 05:31:00 2020,20 min Yoga Flow: Quads,Aditi Shah,20.0,Yoga Flow
Mon Mar  2 04:48:00 2020,30 min Morning Yoga Flow,Aditi Shah,30.0,Yoga Flow
Sun Mar  1 08:56:00 2020,10 min Yoga Flow,Kristin McGee,10.0,Yoga Flow
Sun Mar  1 07:35:00 2020,45 min Yoga Flow,Denis Morton,45.0,Yoga Flow
Sun Mar  1 06:18:00 2020,45 min Power Yoga,Aditi Shah,45.0,Power Yoga
Sat Feb 29 07:32:00 2020,45 min Yoga Flow,Ross Rayburn,45.0,Yoga Flow
Sat Feb 29 06:17:00 2020,45 min Yoga Flow,Anna Greenberg,45.0,Yoga Flow
Fri Feb 28 05:21:00 2020,30 min Yoga Flow: Twists,Ross Rayburn,30.0,Yoga Flow
Fri Feb 28 04:49:00 2020,20 min Yoga Flow,Ross Rayburn,20.0,Yoga Flow
Thu Feb 27 16:18:00 2020,45 min Flow & Let Go,Aditi Shah,45.0,Yoga Flow
Thu Feb 27 14:48:00 2020,30 min Evening Yoga Flow,Anna Greenberg,30.0,Yoga Flow
Thu Feb 27 07:53:00 2020,5 min Chair Yoga ,Ross Rayburn,4.983333333333333,Yoga Anywhere
Thu Feb 27 05:35:00 2020,20 min Yoga Flow,Kristin McGee,19.0,Yoga Flow
Thu Feb 27 04:50:00 2020,30 min Yoga Flow,Kristin McGee,30.0,Yoga Flow
Wed Feb 26 16:18:00 2020,30 min Yoga Flow,Anna Greenberg,30.0,Yoga Flow
Wed Feb 26 14:48:00 2020,30 min Slow Flow,Aditi Shah,30.0,Yoga Flow
Wed Feb 26 05:31:00 2020,20 min Prenatal Restorative Yoga,Kristin McGee,20.0,Restorative Yoga
Wed Feb 26 04:49:00 2020,30 min Prenatal Yoga Flow,Kristin McGee,30.0,Yoga Flow
Tue Feb 25 16:19:00 2020,30 min Yoga Flow,Ross Rayburn,30.0,Yoga Flow
Tue Feb 25 15:32:00 2020,20 min Yoga Flow,Denis Morton,20.0,Yoga Flow
Tue Feb 25 14:52:00 2020,30 min Yoga Flow: Quads,Denis Morton,30.0,Yoga Flow
Tue Feb 25 05:31:00 2020,20 min Yoga Flow,Anna Greenberg,20.0,Yoga Flow
Tue Feb 25 04:48:00 2020,30 min Power Yoga,Anna Greenberg,30.0,Power Yoga
Mon Feb 24 15:31:00 2020,20 min Yoga Flow,Ross Rayburn,20.0,Yoga Flow
Mon Feb 24 14:48:00 2020,30 min Power Yoga,Ross Rayburn,30.0,Power Yoga
Mon Feb 24 05:32:00 2020,20 min Yoga Flow,Aditi Shah,20.0,Yoga Flow
Mon Feb 24 04:47:00 2020,30 min Yoga Flow,Aditi Shah,30.0,Yoga Flow
Sun Feb 23 09:01:00 2020,10 min Yoga Flow,Kristin McGee,10.0,Yoga Flow
Sun Feb 23 07:34:00 2020,45 min Power Yoga,Denis Morton,45.0,Power Yoga
Sun Feb 23 06:19:00 2020,45 min Yoga Flow,Aditi Shah,45.0,Yoga Flow
Sat Feb 22 07:30:00 2020,45 min Yoga Flow,Ross Rayburn,45.0,Yoga Flow
Sat Feb 22 06:17:00 2020,45 min Yoga Flow,Anna Greenberg,45.0,Yoga Flow
Fri Feb 21 05:31:00 2020,20 min Yoga Flow,Ross Rayburn,20.0,Yoga Flow
Fri Feb 21 04:48:00 2020,30 min Yoga Flow,Ross Rayburn,30.0,Yoga Flow
Thu Feb 20 16:17:00 2020,45 min Flow & Let Go,Aditi Shah,45.0,Yoga Flow
Thu Feb 20 15:31:00 2020,20 min Yoga Flow,Anna Greenberg,20.0,Yoga Flow
Thu Feb 20 14:52:00 2020,30 min Yoga Flow,Anna Greenberg,30.0,Yoga Flow
Thu Feb 20 07:51:00 2020,10 min Yoga Flow,Ross Rayburn,10.0,Yoga Flow
Thu Feb 20 05:31:00 2020,20 min Yoga Flow,Kristin McGee,20.0,Yoga Flow
Thu Feb 20 04:48:00 2020,30 min Yoga Flow,Kristin McGee,30.0,Yoga Flow
Wed Feb 19 16:18:00 2020,30 min Slow Flow,Anna Greenberg,30.0,Yoga Flow
Wed Feb 19 15:31:00 2020,20 min Yoga Flow,Aditi Shah,20.0,Yoga Flow
Wed Feb 19 14:51:00 2020,30 min Power Yoga,Aditi Shah,30.0,Power Yoga
Wed Feb 19 04:47:00 2020,45 min Yoga Flow,Kristin McGee,45.0,Yoga Flow
Tue Feb 18 17:01:00 2020,10 min Restorative Yoga,Ross Rayburn,10.0,Restorative Yoga
Tue Feb 18 16:20:00 2020,30 min Slow Flow,Ross Rayburn,30.0,Yoga Flow
Tue Feb 18 15:32:00 2020,20 min Yoga Flow,Denis Morton,20.0,Yoga Flow
Tue Feb 18 14:48:00 2020,30 min Smokey Robinson Yoga Flow,Denis Morton,30.0,Yoga Flow
Tue Feb 18 13:28:00 2020,10 min Yoga Flow: Arms,Ross Rayburn,10.0,Yoga Flow
Tue Feb 18 13:18:00 2020,5 min Basics: High Lunge,Ross Rayburn,5.0,Yoga Basics
Tue Feb 18 05:21:00 2020,30 min Yoga Flow: Core,Anna Greenberg,30.0,Yoga Flow
Tue Feb 18 04:49:00 2020,20 min Morning Yoga Flow,Anna Greenberg,20.0,Yoga Flow
Mon Feb 17 05:31:00 2020,20 min Yoga Flow: Shoulders,Kristin McGee,20.0,Yoga Flow
Mon Feb 17 04:49:00 2020,30 min Yoga Flow,Kristin McGee,30.0,Yoga Flow
