Original Air Date,Type,Instructor,Length
Tue Feb 18 22:32:00 2020,Upper Body (strength & toning),Ben Alldis,10.0
Tue Feb 18 05:31:00 2020,Bodyweight (Strength & toning),Selena Samuela,10.0
Mon Feb 17 22:32:00 2020,Upper Body (strength & toning),Leanne Hainsby,10.0
Mon Feb 17 08:50:00 2020,Core (Strength & Toning),Rebecca Kennedy,30.0
Mon Feb 17 08:02:00 2020,Upper Body (strength & toning),Christine D'Ercole,10.0
Mon Feb 17 04:30:00 2020,Core (Strength & Toning),Cody Rigsby,5.0
Sun Feb 16 22:32:00 2020,Upper Body (strength & toning),Sam Yo,10.0
Sun Feb 16 08:46:00 2020,Full Body (Strength & Toning),Matt Wilpers,10.0
Sun Feb 16 07:02:00 2020,Full Body (Strength & Toning),Rebecca Kennedy,10.0
Sun Feb 16 05:00:00 2020,Upper Body (strength & toning),Cody Rigsby,10.0
Sat Feb 15 07:01:00 2020,Full Body (Strength & Toning),Matty Maggiacomo,10.0
Fri Feb 14 04:32:00 2020,Core (Strength & Toning),Selena Samuela,10.0
Fri Feb 14 02:49:00 2020,Full Body (Strength & Toning),Rebecca Kennedy,30.0
Thu Feb 13 04:22:00 2020,Upper Body (strength & toning),Jess Sims,20.0
Wed Feb 12 23:32:00 2020,Upper Body (strength & toning),Hannah Frankson,10.0
Wed Feb 12 17:02:00 2020,Bodyweight (Strength & toning),Rebecca Kennedy,20.0
Wed Feb 12 07:09:00 2020,Full Body (Strength & Toning),Becs Gentry,20.0
Wed Feb 12 05:32:00 2020,Core (Strength & Toning),Andy Speer,10.0
Tue Feb 11 22:32:00 2020,Upper Body (strength & toning),Ben Alldis,10.0
Tue Feb 11 08:02:00 2020,Upper Body (strength & toning),Denis Morton,10.0
Tue Feb 11 06:57:00 2020,Full Body (Strength & Toning),Olivia Amato,20.0
Tue Feb 11 05:31:00 2020,Upper Body (strength & toning),Olivia Amato,10.0
Tue Feb 11 03:21:00 2020,Bodyweight (Strength & toning),Andy Speer,20.0
Tue Feb 11 02:48:00 2020,Lower Body (Strength & Toning),Andy Speer,20.0
Mon Feb 10 22:32:00 2020,Upper Body (strength & toning),Leanne Hainsby,10.0
Mon Feb 10 15:02:00 2020,Bodyweight (Strength & toning),Becs Gentry,10.0
Sun Feb  9 22:32:00 2020,Upper Body (strength & toning),Sam Yo,10.0
Sun Feb  9 07:02:00 2020,Core (Strength & Toning),Rebecca Kennedy,10.0
Fri Feb  7 07:29:00 2020,Core (Strength & Toning),Becs Gentry,10.0
Fri Feb  7 05:32:00 2020,Bodyweight (Strength & toning),Matty Maggiacomo,10.0
Fri Feb  7 02:47:00 2020,Full Body (Strength & Toning),Rebecca Kennedy,20.0
Thu Feb  6 05:22:00 2020,Lower Body (Strength & Toning),Matty Maggiacomo,20.0
Thu Feb  6 04:22:00 2020,Lower Body (Strength & Toning),Jess Sims,20.0
Wed Feb  5 23:32:00 2020,Upper Body (strength & toning),Hannah Frankson,10.0
Wed Feb  5 16:52:00 2020,Bodyweight (Strength & toning),Rebecca Kennedy,30.0
Wed Feb  5 06:30:00 2020,Core (Strength & Toning),Robin Arzon,5.0
Wed Feb  5 06:25:00 2020,Core (Strength & Toning),Robin Arzon,10.0
Wed Feb  5 05:22:00 2020,Upper Body (strength & toning),Andy Speer,20.0
Tue Feb  4 08:57:00 2020,Full Body (Strength & Toning),Chase Tucker,15.0
Tue Feb  4 05:31:00 2020,Core (Strength & Toning),Olivia Amato,10.0
Mon Feb  3 22:32:00 2020,Upper Body (strength & toning),Leanne Hainsby,10.0
Mon Feb  3 14:52:00 2020,Lower Body (Strength & Toning),Rebecca Kennedy,20.0
Sun Feb  2 22:32:00 2020,Upper Body (strength & toning),Sam Yo,10.0
Sun Feb  2 07:02:00 2020,Upper Body (strength & toning),Rebecca Kennedy,10.0
Sun Feb  2 05:00:00 2020,Upper Body (strength & toning),Cody Rigsby,10.0
Fri Jan 31 05:22:00 2020,Bodyweight (Strength & toning),Becs Gentry,20.0
Fri Jan 31 04:22:00 2020,Upper Body (strength & toning),Selena Samuela,20.0
Fri Jan 31 02:49:00 2020,Full Body (Strength & Toning),Rebecca Kennedy,30.0
Thu Jan 30 08:02:00 2020,Upper Body (strength & toning),Robin Arzon,10.0
Thu Jan 30 04:32:00 2020,Upper Body (strength & toning),Jess Sims,10.0
Thu Jan 30 03:32:00 2020,Full Body (Strength & Toning),Becs Gentry,10.0
Wed Jan 29 23:32:00 2020,Upper Body (strength & toning),Hannah Frankson,10.0
Wed Jan 29 17:02:00 2020,Bodyweight (Strength & toning),Rebecca Kennedy,20.0
Wed Jan 29 05:31:00 2020,Core (Strength & Toning),Andy Speer,10.0
Wed Jan 29 04:31:00 2020,Bodyweight (Strength & toning),Selena Samuela,10.0
Wed Jan 29 03:23:00 2020,Bodyweight (Strength & toning),Jess Sims,20.0
Tue Jan 28 08:02:00 2020,Upper Body (strength & toning),Kendall Toole,10.0
Tue Jan 28 05:20:00 2020,Core (Strength & Toning),Olivia Amato,20.0
Tue Jan 28 04:32:00 2020,Core (Strength & Toning),Jess Sims,10.0
Mon Jan 27 22:32:00 2020,Upper Body (strength & toning),Leanne Hainsby,10.0
Mon Jan 27 17:01:00 2020,Core (Strength & Toning),Matty Maggiacomo,20.0
Mon Jan 27 15:01:00 2020,Bodyweight (Strength & toning),Robin Arzon,10.0
Mon Jan 27 04:30:00 2020,Core (Strength & Toning),Cody Rigsby,4.983333333333333
Sun Jan 26 22:32:00 2020,Upper Body (strength & toning),Sam Yo,10.0
Sat Jan 25 07:02:00 2020,Full Body (Strength & Toning),Chase Tucker,10.0
Sat Jan 25 06:02:00 2020,Bodyweight (Strength & toning),Becs Gentry,10.0
Fri Jan 24 05:21:00 2020,Upper Body (strength & toning),Matty Maggiacomo,20.0
Fri Jan 24 04:31:00 2020,Upper Body (strength & toning),Selena Samuela,10.0
Fri Jan 24 02:49:00 2020,Full Body (Strength & Toning),Rebecca Kennedy,30.0
Thu Jan 23 05:32:00 2020,Core (Strength & Toning),Matty Maggiacomo,10.0
Thu Jan 23 04:22:00 2020,Full Body (Strength & Toning),Jess Sims,20.0
Wed Jan 22 23:32:00 2020,Upper Body (strength & toning),Hannah Frankson,10.0
Wed Jan 22 17:02:00 2020,Upper Body (strength & toning),Rebecca Kennedy,20.0
Wed Jan 22 07:00:00 2020,Upper Body (strength & toning),Hannah Corbin,10.0
Wed Jan 22 05:22:00 2020,Bodyweight (Strength & toning),Andy Speer,20.0
Tue Jan 21 22:32:00 2020,Upper Body (strength & toning),Ben Alldis,10.0
Tue Jan 21 05:31:00 2020,Core (Strength & Toning),Olivia Amato,10.0
Tue Jan 21 03:32:00 2020,Upper Body (strength & toning),Andy Speer,10.0
Mon Jan 20 23:32:00 2020,Upper Body (strength & toning),Leanne Hainsby,10.0
Mon Jan 20 08:02:00 2020,Upper Body (strength & toning),Christine D'Ercole,10.0
Sun Jan 19 22:32:00 2020,Upper Body (strength & toning),Sam Yo,10.0
Sun Jan 19 06:52:00 2020,Core (Strength & Toning),Rebecca Kennedy,20.0
Sun Jan 19 02:40:00 2020,Upper Body (strength & toning),Hannah Frankson,10.0
Sat Jan 18 07:02:00 2020,Core (Strength & Toning),Chase Tucker,10.0
Fri Jan 17 07:50:00 2020,Bodyweight (Strength & toning),Becs Gentry,20.0
Fri Jan 17 05:31:00 2020,Core (Strength & Toning),Matty Maggiacomo,10.0
Fri Jan 17 02:50:00 2020,Bodyweight (Strength & toning),Rebecca Kennedy,30.0
Thu Jan 16 07:57:00 2020,Lower Body (Strength & Toning),Matty Maggiacomo,20.0
Thu Jan 16 07:28:00 2020,Full Body (Strength & Toning),Matty Maggiacomo,20.0
Thu Jan 16 05:31:00 2020,Full Body (Strength & Toning),Matty Maggiacomo,10.0
Thu Jan 16 04:22:00 2020,Bodyweight (Strength & toning),Jess Sims,20.0
Wed Jan 15 17:02:00 2020,Upper Body (strength & toning),Rebecca Kennedy,20.0
Wed Jan 15 14:52:00 2020,Upper Body (strength & toning),Chase Tucker,20.0
Wed Jan 15 14:19:00 2020,Lower Body (Strength & Toning),Chase Tucker,20.0
Wed Jan 15 13:14:00 2020,Upper Body (strength & toning),Jess Sims,15.0
Wed Jan 15 12:49:00 2020,Core (Strength & Toning),Jess Sims,15.0
Wed Jan 15 05:22:00 2020,Core (Strength & Toning),Andy Speer,20.0
Wed Jan 15 03:32:00 2020,Full Body (Strength & Toning),Matt Wilpers,10.0
Tue Jan 14 22:32:00 2020,Upper Body (strength & toning),Ben Alldis,10.0
Tue Jan 14 11:00:00 2020,Upper Body (strength & toning),Tunde Oyeneyin,10.0
Tue Jan 14 08:02:00 2020,Upper Body (strength & toning),Denis Morton,10.0
Tue Jan 14 04:32:00 2020,Upper Body (strength & toning),Jess Sims,10.0
Tue Jan 14 04:06:00 2020,Upper Body (strength & toning),Leanne Hainsby,10.0
Mon Jan 13 14:51:00 2020,Full Body (Strength & Toning),Robin Arzon,20.0
Mon Jan 13 05:22:00 2020,Full Body (Strength & Toning),Becs Gentry,20.0
Mon Jan 13 04:31:00 2020,Core (Strength & Toning),Selena Samuela,10.0
Sun Jan 12 22:33:00 2020,Upper Body (strength & toning),Sam Yo,10.0
Sun Jan 12 07:02:00 2020,Lower Body (Strength & Toning),Rebecca Kennedy,10.0
Sat Jan 11 07:02:00 2020,Bodyweight (Strength & toning),Chase Tucker,10.0
Fri Jan 10 05:21:00 2020,Upper Body (strength & toning),Matty Maggiacomo,20.0
Fri Jan 10 02:47:00 2020,Bodyweight (Strength & toning),Rebecca Kennedy,30.0
Thu Jan  9 05:32:00 2020,Lower Body (Strength & Toning),Matty Maggiacomo,10.0
Thu Jan  9 04:22:00 2020,Full Body (Strength & Toning),Jess Sims,20.0
Thu Jan  9 03:32:00 2020,Upper Body (strength & toning),Chase Tucker,10.0
Wed Jan  8 23:32:00 2020,Upper Body (strength & toning),Hannah Frankson,10.0
Wed Jan  8 17:02:00 2020,Upper Body (strength & toning),Rebecca Kennedy,20.0
Wed Jan  8 05:31:00 2020,Upper Body (strength & toning),Andy Speer,10.0
Wed Jan  8 04:22:00 2020,Core (Strength & Toning),Jess Sims,20.0
Tue Jan  7 22:32:00 2020,Upper Body (strength & toning),Ben Alldis,10.0
Mon Jan  6 22:32:00 2020,Upper Body (strength & toning),Leanne Hainsby,10.0
Mon Jan  6 17:02:00 2020,Core (Strength & Toning),Matty Maggiacomo,20.0
Mon Jan  6 15:02:00 2020,Core (Strength & Toning),Robin Arzon,10.0
Mon Jan  6 04:30:00 2020,Core (Strength & Toning),Cody Rigsby,5.0
Mon Jan  6 04:22:00 2020,Full Body (Strength & Toning),Selena Samuela,20.0
Sun Jan  5 22:32:00 2020,Upper Body (strength & toning),Sam Yo,10.0
Sun Jan  5 12:20:00 2020,Lower Body (Strength & Toning),Hannah Corbin,5.0
Sun Jan  5 02:32:00 2020,Upper Body (strength & toning),Sam Yo,10.0
Sat Jan  4 05:52:00 2020,Full Body (Strength & Toning),Andy Speer,20.0
Sat Jan  4 05:30:00 2020,Core (Strength & Toning),Emma Lovewell,10.0
Sat Jan  4 05:30:00 2020,Upper Body (strength & toning),Robin Arzon,10.0
Fri Jan  3 06:09:00 2020,Lower Body (Strength & Toning),Andy Speer,20.0
Fri Jan  3 04:21:00 2020,Full Body (Strength & Toning),Matty Maggiacomo,20.0
Fri Jan  3 02:45:00 2020,Bodyweight (Strength & toning),Olivia Amato,30.0
Thu Jan  2 23:32:00 2020,Upper Body (strength & toning),Hannah Frankson,10.0
Thu Jan  2 13:06:00 2020,Full Body (Strength & Toning),Olivia Amato,20.0
Thu Jan  2 05:00:00 2020,Core (Strength & Toning),Ally Love,5.0
Thu Jan  2 04:22:00 2020,Core (Strength & Toning),Jess Sims,20.0
Wed Jan  1 23:32:00 2020,Upper Body (strength & toning),Sam Yo,10.0
Tue Dec 31 08:02:00 2019,Upper Body (strength & toning),Denis Morton,10.0
Mon Dec 30 05:52:00 2019,Full Body (Strength & Toning),Rebecca Kennedy,20.0
Sun Dec 29 07:02:00 2019,Upper Body (strength & toning),Rebecca Kennedy,10.0
Sat Dec 28 07:00:00 2019,Upper Body (strength & toning),Olivia Amato,10.0
Sat Dec 28 05:30:00 2019,Upper Body (strength & toning),Emma Lovewell,5.0
Sat Dec 28 04:30:00 2019,Upper Body (strength & toning),Ally Love,10.0
Sat Dec 28 04:30:00 2019,Upper Body (strength & toning),Kendall Toole,10.0
Fri Dec 27 07:27:00 2019,Upper Body (strength & toning),Becs Gentry,10.0
Fri Dec 27 05:51:00 2019,Upper Body (strength & toning),Andy Speer,30.0
Fri Dec 27 05:32:00 2019,Bodyweight (Strength & toning),Rebecca Kennedy,10.0
Thu Dec 26 17:02:00 2019,Full Body (Strength & Toning),Becs Gentry,10.0
Thu Dec 26 04:22:00 2019,Core (Strength & Toning),Jess Sims,20.0
Tue Dec 24 05:00:00 2019,Core (Strength & Toning),Ally Love,5.0
Mon Dec 23 15:01:00 2019,Upper Body (strength & toning),Robin Arzon,10.0
Mon Dec 23 08:02:00 2019,Upper Body (strength & toning),Christine D'Ercole,10.0
Mon Dec 23 07:02:00 2019,Upper Body (strength & toning),Ally Love,10.0
Mon Dec 23 04:24:00 2019,Bodyweight (Strength & toning),Becs Gentry,20.0
Mon Dec 23 03:22:00 2019,Core (Strength & Toning),Selena Samuela,20.0
