Original Air Date,Title,Instructor,Length,Type
Fri Mar 15 02:49:00 2019,20 min 90s Bootcamp,Rebecca Kennedy,20.0,Theme (Bootcamp)
Mon Feb 25 02:49:00 2019,30 min HRZ Bootcamp: Bodyweight,Selena Samuela,30.0,Heart Rate Bootcamp
Tue Feb 12 16:18:00 2019,60 min Bootcamp: Arms & Shoulders,Olivia Amato,60.0,Body Focus (Bootcamp)
Sat Feb  9 06:19:00 2019,20 min Bootcamp: Glutes & Legs,Robin Arzon,20.0,Body Focus (Bootcamp)
Fri Feb  8 04:49:00 2019,30 min Bootcamp: Core,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Thu Feb  7 02:50:00 2019,30 min Run + Arms & Shoulders,Chase Tucker,29.0,Body Focus (Bootcamp)
Tue Jan 29 07:07:00 2019,30 min Run + Full Body,Andy Speer,30.0,Body Focus (Bootcamp)
Tue Jan 29 06:08:00 2019,30 min Walk + Core,Chase Tucker,30.0,Walking Bootcamp
Wed Jan 16 15:19:00 2019,45 min Bootcamp: Core,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Tue Jan 15 02:49:00 2019,20 min Rock Bootcamp,Andy Speer,20.0,Theme (Bootcamp)
Sat Jan 12 09:20:00 2019,20 min Disco Bootcamp,Matty Maggiacomo,20.0,Theme (Bootcamp)
Fri Jan 11 06:24:00 2019,20 min Bootcamp: Glutes & Legs,Andy Speer,20.0,Body Focus (Bootcamp)
Sat Jan  5 09:35:00 2019,30 min Walk + Core,Matty Maggiacomo,30.0,Walking Bootcamp
Thu Jan  3 03:50:00 2019,45 min Bootcamp: Bodyweight,Olivia Amato,45.0,Bodyweight (Bootcamp)
Wed Jan  2 04:50:00 2019,30 min Run + Glutes & Legs,Andy Speer,30.0,Body Focus (Bootcamp)
Wed Dec 26 07:49:00 2018,60 min Bootcamp: Chest & Back,Selena Samuela,60.0,Body Focus (Bootcamp)
Tue Dec 18 13:52:00 2018,30 min Walk + Arms & Shoulders,Chase Tucker,30.0,Walking Bootcamp
Mon Dec 17 16:19:00 2018,60 min Bootcamp: Arms & Shoulders,Matty Maggiacomo,60.0,Body Focus (Bootcamp)
Mon Dec 17 15:19:00 2018,45 min Bootcamp: Full Body,Chase Tucker,45.0,Body Focus (Bootcamp)
Sun Dec 16 07:50:00 2018,60 min HRZ Bootcamp: Chest & Back,Olivia Amato,60.0,Heart Rate Bootcamp
Wed Dec 12 02:50:00 2018,20 min Bootcamp: Full Body,Matty Maggiacomo,20.0,Body Focus (Bootcamp)
Mon Dec 10 16:20:00 2018,60 min HRZ Bootcamp: Core,Matty Maggiacomo,60.0,Heart Rate Bootcamp
Mon Dec 10 06:40:00 2018,30 min Walk + Chest & Back,Andy Speer,30.0,Walking Bootcamp
Wed Dec  5 16:19:00 2018,60 min HRZ Bootcamp: Full Body,Selena Samuela,60.0,Heart Rate Bootcamp
Fri Nov 30 06:07:00 2018,20 min Bootcamp: Glutes & Legs,Olivia Amato,20.0,Body Focus (Bootcamp)
Wed Nov 28 02:48:00 2018,45 min HRZ Bootcamp: Glutes & Legs,Matty Maggiacomo,45.0,Heart Rate Bootcamp
Mon Nov 19 16:20:00 2018,60 min HRZ Bootcamp: Core,Matty Maggiacomo,60.0,Heart Rate Bootcamp
Mon Nov 19 10:20:00 2018,30 min Walk + Core,Olivia Amato,30.0,Walking Bootcamp
Mon Nov 19 02:49:00 2018,45 min 90s Bootcamp,Selena Samuela,45.0,Theme (Bootcamp)
Fri Nov 16 04:49:00 2018,30 min Run + Glutes & Legs,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Fri Nov 16 03:50:00 2018,30 min HRZ Bootcamp: Bodyweight,Selena Samuela,30.0,Heart Rate Bootcamp
Tue Nov 13 16:20:00 2018,60 min Bootcamp: Chest & Back,Selena Samuela,60.0,Body Focus (Bootcamp)
Tue Nov 13 04:49:00 2018,30 min Bootcamp: Bodyweight,Olivia Amato,30.0,Bodyweight (Bootcamp)
Wed Nov  7 02:49:00 2018,45 min Bootcamp: Full Body,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Tue Nov  6 09:26:00 2018,20 min Bootcamp: Arms & Shoulders,Andy Speer,20.0,Body Focus (Bootcamp)
Mon Nov  5 10:49:00 2018,20 min Bootcamp: Arms & Shoulders,Olivia Amato,20.0,Body Focus (Bootcamp)
Sat Nov  3 10:19:00 2018,20 min Bootcamp: Glutes & Legs,Olivia Amato,20.0,Body Focus (Bootcamp)
Fri Nov  2 08:11:00 2018,30 min Walk + Glutes & Legs,Matty Maggiacomo,30.0,Walking Bootcamp
Fri Nov  2 06:10:00 2018,30 min Walk + Core,Rebecca Kennedy,30.0,Walking Bootcamp
Fri Nov  2 02:49:00 2018,30 min Run + Core,Becs Gentry,30.0,Body Focus (Bootcamp)
Tue Oct 23 04:49:00 2018,30 min HRZ Bootcamp: Chest & Back,Selena Samuela,30.0,Heart Rate Bootcamp
Sun Oct 21 09:20:00 2018,20 min Walk + Glutes & Legs,Rebecca Kennedy,20.0,Walking Bootcamp
Fri Oct 19 07:19:00 2018,30 min Run + Core,Andy Speer,30.0,Body Focus (Bootcamp)
Mon Oct 15 06:33:00 2018,30 min Walk + Glutes & Legs,Robin Arzon,30.0,Walking Bootcamp
Mon Oct 15 03:49:00 2018,45 min Bootcamp: Full Body,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Fri Oct 12 06:04:00 2018,20 min Run + Arms & Shoulders,Becs Gentry,20.0,Body Focus (Bootcamp)
Fri Oct 12 04:49:00 2018,30 min Bootcamp: Glutes & Legs,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Thu Oct 11 11:04:00 2018,20 min Hip Hop Bootcamp,Robin Arzon,20.0,Body Focus (Bootcamp)
Thu Oct 11 06:35:00 2018,20 min Rock Bootcamp,Selena Samuela,20.0,Body Focus (Bootcamp)
Tue Oct  9 04:50:00 2018,30 min HRZ Bootcamp: Glutes & Legs,Selena Samuela,30.0,Heart Rate Bootcamp
Wed Sep 19 16:20:00 2018,30 min HRZ Bootcamp: Core,Chase Tucker,30.0,Heart Rate Bootcamp
Mon Sep 17 16:20:00 2018,30 min Rock Bootcamp,Andy Speer,30.0,Theme (Bootcamp)
Mon Sep 17 09:35:00 2018,20 min Hip Hop Bootcamp,Chase Tucker,20.0,Body Focus (Bootcamp)
Fri Sep 14 11:45:00 2018,20 min Rock Bootcamp,Andy Speer,20.0,Body Focus (Bootcamp)
Mon Sep 10 13:49:00 2018,30 min Walk + Arms & Shoulders,Becs Gentry,30.0,Walking Bootcamp
Mon Sep 10 12:40:00 2018,30 min Run + Core,Andy Speer,30.0,Body Focus (Bootcamp)
Wed Aug 22 13:20:00 2018,20 min Bootcamp: Full Body,Selena Samuela,20.0,Body Focus (Bootcamp)
Mon Aug 20 15:20:00 2018,45 min 70s Rock Bootcamp,Selena Samuela,45.0,Theme (Bootcamp)
Mon Aug 20 03:50:00 2018,45 min Bootcamp: Core,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Sat Aug 18 06:19:00 2018,30 min Bootcamp: Full Body,Selena Samuela,30.0,Body Focus (Bootcamp)
Fri Aug 17 07:19:00 2018,30 min Walk + Arms & Shoulders,Andy Speer,30.0,Walking Bootcamp
Thu Aug 16 03:50:00 2018,45 min Bootcamp: Full Body,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Mon Aug 13 03:50:00 2018,45 min Bootcamp: Core,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Tue Aug  7 06:20:00 2018,30 min Walk + Core,Robin Arzon,30.0,Walking Bootcamp
Tue Jul 31 06:20:00 2018,30 min Run + Chest & Back,Robin Arzon,30.0,Body Focus (Bootcamp)
Tue Jul 17 04:50:00 2018,30 min Run + Glutes & Legs,Selena Samuela,30.0,Body Focus (Bootcamp)
Thu Jul 12 04:50:00 2018,30 min Run + Core,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Wed Jul 11 16:20:00 2018,30 min Rock Bootcamp,Andy Speer,30.0,Theme (Bootcamp)
