Original Air Date,Type,Instructor,Length
Tue Jul 30 15:18:00 2019,Walk + Run,Selena Samuela,45.0
Tue Jul 30 14:15:00 2019,Walk + Run,Andy Speer,30.0
Fri Jul 26 07:00:00 2019,Power Walking,Andy Speer,45.0
Thu Jul 25 16:17:00 2019,Walk + Run,Andy Speer,30.0
Wed Jul 24 11:50:00 2019,Power Walking,Selena Samuela,45.0
Tue Jul 23 04:53:00 2019,Walk + Run,Olivia Amato,45.0
Thu Jul 11 10:36:00 2019,Fun Walk,Jess Sims,30.0
Thu Jul 11 04:47:00 2019,Walk + Run,Robin Arzon,30.0
Wed Jul 10 14:16:00 2019,Walk + Run,Chase Tucker,45.0
Wed Jul 10 03:48:00 2019,Walk + Run,Jess Sims,45.0
Tue Jul  9 06:29:00 2019,Hiking Walking,Andy Speer,30.0
Tue Jul  9 05:47:00 2019,Power Walking,Andy Speer,30.0
Sun Jul  7 11:03:00 2019,Warm Up/Cool Down Walking,Selena Samuela,10.0
Sun Jul  7 10:39:00 2019,Fun Walk,Selena Samuela,20.0
Sun Jul  7 10:18:00 2019,Warm Up/Cool Down Walking,Selena Samuela,10.0
Wed Jul  3 10:55:00 2019,Hiking Walking,Rebecca Kennedy,20.0
Sun Jun 30 10:40:00 2019,Power Walking,Selena Samuela,45.0
Sun Jun 30 05:17:00 2019,Walk + Run,Andy Speer,45.0
Sat Jun 29 09:20:00 2019,Fun Walk,Matty Maggiacomo,45.0
Thu Jun 27 14:17:00 2019,Walk + Run,Olivia Amato,45.0
Wed Jun 26 06:02:00 2019,Hiking Walking,Jess Sims,20.0
Wed Jun 26 02:48:00 2019,Walk + Run,Matt Wilpers,30.0
Tue Jun 25 15:19:00 2019,Walk + Run,Matty Maggiacomo,45.0
Sun Jun 23 10:26:00 2019,Hiking Walking,Selena Samuela,20.0
Sat Jun 22 09:19:00 2019,Hiking Walking,Matty Maggiacomo,30.0
Fri Jun 21 05:48:00 2019,Hiking Walking,Andy Speer,30.0
Thu Jun 20 06:49:00 2019,Walk + Run,Chase Tucker,30.0
Tue Jun 18 15:18:00 2019,Walk + Run,Selena Samuela,45.0
Mon Jun 17 06:30:00 2019,Fun Walk,Becs Gentry,20.0
Fri Jun 14 06:29:00 2019,Power Walking,Becs Gentry,20.0
Sat Jun  8 09:59:00 2019,Fun Walk,Matty Maggiacomo,20.0
Sat Jun  8 09:20:00 2019,Power Walking,Matty Maggiacomo,30.0
Mon Jun  3 06:54:00 2019,Power Walking,Becs Gentry,45.0
Mon May 27 09:40:00 2019,Walk + Run,Becs Gentry,20.0
Fri May 24 09:01:00 2019,Fun Walk,Olivia Amato,20.0
Fri May 24 06:19:00 2019,Hiking Walking,Becs Gentry,30.0
