Original Air Date,Title,Instructor,Length,Type
Fri Jun  7 03:22:00 2019,20 min HIIT Cardio,Rebecca Kennedy,20.0,HIIT (BTR Cardio)
Fri May 17 11:56:00 2019,15 min HIIT Cardio,Jennifer Jacobs,15.0,HIIT (BTR Cardio)
Thu Mar 28 13:33:00 2019,15 min HIIT Cardio,Jennifer Jacobs,15.0,HIIT (BTR Cardio)
Fri Aug 24 05:32:00 2018,10 min HIIT Cardio,Matty Maggiacomo,10.0,HIIT (BTR Cardio)
Fri Aug  3 04:32:00 2018,10 min HIIT Cardio,Rebecca Kennedy,10.0,HIIT (BTR Cardio)
Fri Jul 13 05:31:00 2018,10 min HIIT Cardio,Selena Samuela,10.0,HIIT (BTR Cardio)
Fri Jun 29 05:32:00 2018,10 min HIIT Cardio,Selena Samuela,10.0,HIIT (BTR Cardio)
Mon Aug  1 11:00:00 2016,5 min Cardio,Alex Toussaint,5.0,Cardio
Thu Apr 20 08:00:00 2017,10 min HIIT,Robin Arzon,10.2,Cardio
Fri Jul  1 11:00:00 2016,10 min Cardio,Cody Rigsby,10.0,Cardio
Mon Aug  1 11:00:00 2016,10 min Cardio,Jess King,9.9,Cardio
Thu Jun 15 08:00:00 2017,5 min Mountain Climbers,Matt Wilpers,5.533333333333333,HIIT (BTR Cardio)
Thu Apr 20 08:00:00 2017,10 min HIIT,Jess King,10.0,Cardio
Thu Jan 19 08:00:00 2017,10 min Beginner/Intermediate HIIT,Matt Wilpers,10.0,Cardio
Fri Jul  1 11:00:00 2016,5 min Jumpstart Your Day,Alex Toussaint,5.0,Cardio
Fri Jul  1 11:00:00 2016,10 min Jumpstart Your Day,Alex Toussaint,9.95,Cardio
Fri Jul  1 11:00:00 2016,5 min Jumpstart Your Day,Alex Toussaint,4.983333333333333,Cardio
Thu Feb 16 08:00:00 2017,10 min HIIT,Matt Wilpers,9.916666666666666,Cardio
