Original Air Date,Type,Instructor,Length
Fri Nov  1 07:05:00 2019,Lower Body Stretch,Becs Gentry,10.0
Wed Oct 30 13:21:00 2019,Lower Body Stretch,Jess Sims,10.0
Tue Oct 29 13:43:00 2019,Full Body Stretch,Chase Tucker,10.0
Mon Oct 28 13:06:00 2019,Pre & Post-Run Stretch,Becs Gentry,5.0
Mon Oct 28 12:23:00 2019,Pre & Post-Run Stretch,Becs Gentry,5.0
Mon Oct 28 10:37:00 2019,Pre & Post-Ride Stretch,Ally Love,5.0
Thu Oct 24 10:30:00 2019,Lower Body Stretch,Christine D'Ercole,5.0
Thu Oct 24 10:21:00 2019,Full Body Stretch,Christine D'Ercole,10.0
Thu Oct 24 02:58:00 2019,Post-Ride Stretch,Leanne Hainsby,4.983333333333333
Wed Oct 23 13:28:00 2019,Pre & Post-Ride Stretch,Jess King,5.0
Wed Oct 23 11:05:00 2019,Upper Body Stretch,Jess Sims,10.0
Tue Oct 22 02:47:00 2019,Post-Ride Stretch,Ben Alldis,4.983333333333333
Mon Oct 21 08:34:00 2019,Lower Body Stretch,Rebecca Kennedy,4.983333333333333
Mon Oct 21 08:20:00 2019,Lower Body Stretch,Rebecca Kennedy,10.0
Sat Oct 19 11:45:00 2019,Pre & Post-Ride Stretch,Olivia Amato,4.983333333333333
Thu Oct 17 12:54:00 2019,Pre & Post-Run Stretch,Olivia Amato,10.0
Wed Oct 16 12:29:00 2019,Pre & Post-Ride Stretch,Denis Morton,5.0
Tue Oct 15 13:27:00 2019,Upper Body Stretch,Chase Tucker,15.0
Tue Oct 15 13:00:00 2019,Pre & Post-Ride Stretch,Kendall Toole,5.0
Mon Oct 14 12:44:00 2019,Pre & Post-Ride Stretch,Jenn Sherman,4.983333333333333
Thu Oct 10 07:00:00 2019,Upper Body Stretch,Chase Tucker,10.0
Sat Oct  5 09:51:00 2019,Full Body Stretch,Matty Maggiacomo,10.0
Fri Oct  4 06:29:00 2019,Lower Body Stretch,Becs Gentry,5.0
Wed Oct  2 10:52:00 2019,Upper Body Stretch,Jess Sims,10.0
Tue Oct  1 04:00:00 2019,Pre & Post-Ride Stretch,Cody Rigsby,5.0
Fri Sep 27 06:31:00 2019,Upper Body Stretch,Andy Speer,10.0
Fri Sep 27 06:09:00 2019,Lower Body Stretch,Andy Speer,10.0
Fri Sep 27 05:49:00 2019,Upper Body Stretch,Andy Speer,10.0
Wed Sep 25 06:28:00 2019,Lower Body Stretch,Jess Sims,10.0
Tue Sep 24 13:55:00 2019,Full Body Stretch,Chase Tucker,10.0
Mon Sep 23 07:00:00 2019,Full Body Stretch,Rebecca Kennedy,5.0
Sun Sep 22 11:51:00 2019,Pre & Post-Ride Stretch,Hannah Corbin,5.0
Fri Sep 20 06:49:00 2019,Pre & Post-Run Stretch,Andy Speer,10.0
Fri Sep 20 05:48:00 2019,Pre & Post-Run Stretch,Andy Speer,10.0
Thu Sep 19 13:00:00 2019,Pre & Post-Ride Stretch,Alex Toussaint,5.0
Thu Sep 19 10:33:00 2019,Pre & Post-Ride Stretch,Christine D'Ercole,5.0
Tue Sep 17 06:28:00 2019,Lower Body Stretch,Becs Gentry,5.0
Sun Sep 15 10:08:00 2019,Pre & Post-Run Stretch,Selena Samuela,5.0
Sun Sep 15 09:56:00 2019,Full Body Stretch,Selena Samuela,10.0
Sun Sep 15 10:00:00 2019,Pre & Post-Run Stretch,Selena Samuela,5.0
Fri Sep 13 11:18:00 2019,Pre & Post-Ride Stretch,Matt Wilpers,5.0
Thu Sep 12 10:56:00 2019,Pre & Post-Run Stretch,Robin Arzon,5.0
Thu Sep 12 10:21:00 2019,Pre & Post-Run Stretch,Robin Arzon,5.0
Wed Sep 11 12:33:00 2019,Pre & Post-Ride Stretch,Robin Arzon,5.0
Wed Sep 11 12:21:00 2019,Full Body Stretch,Jess King,10.0
Wed Sep 11 07:39:00 2019,Pre & Post-Run Stretch,Jess Sims,5.0
Wed Sep 11 06:54:00 2019,Pre & Post-Run Stretch,Jess Sims,5.0
Tue Sep 10 03:00:00 2019,Pre & Post-Ride Stretch,Kendall Toole,5.0
Tue Sep 10 03:00:00 2019,Pre & Post-Ride Stretch,Tunde Oyeneyin,5.0
Mon Sep  9 12:04:00 2019,Pre & Post-Ride Stretch,Jenn Sherman,5.033333333333333
Thu Sep  5 07:27:00 2019,Full Body Stretch,Hannah Corbin,15.0
Thu Sep  5 00:13:00 2019,Pre & Post-Ride Stretch,Ben Alldis,4.983333333333333
Tue Sep  3 20:48:00 2019,Pre & Post-Ride Stretch,Leanne Hainsby,4.983333333333333
Tue Sep  3 13:25:00 2019,Lower Body Stretch,Chase Tucker,10.0
Fri Aug 23 06:34:00 2019,Full Body Stretch,Becs Gentry,5.0
Tue Aug 20 13:06:00 2019,Upper Body Stretch,Chase Tucker,5.0
Mon Aug 19 08:26:00 2019,Pre & Post-Run Stretch,Rebecca Kennedy,5.0
Mon Aug 19 07:54:00 2019,Pre & Post-Run Stretch,Rebecca Kennedy,5.0
Thu Aug 15 11:05:00 2019,Pre & Post-Ride Stretch,Denis Morton,5.0
Wed Aug 14 06:00:00 2019,Pre & Post-Run Stretch,Matt Wilpers,5.0
Mon Aug 12 12:45:00 2019,Pre & Post-Ride Stretch,Jess King,5.0
Fri Aug  9 09:41:00 2019,Pre & Post-Run Stretch,Becs Gentry,5.0
Thu Aug  8 10:56:00 2019,Full Body Stretch,Hannah Corbin,10.0
Thu Aug  8 10:32:00 2019,Lower Body Stretch,Hannah Corbin,10.0
Tue Aug  6 13:51:00 2019,Pre & Post-Run Stretch,Chase Tucker,5.0
Tue Aug  6 12:00:00 2019,Pre & Post-Ride Stretch,Emma Lovewell,5.0
Wed Jul 31 13:00:00 2019,Pre & Post-Ride Stretch,Cody Rigsby,5.0
Tue Jul 30 15:02:00 2019,Pre & Post-Run Stretch,Andy Speer,10.0
Fri Jul 26 11:10:00 2019,Full Body Stretch,Denis Morton,15.0
Tue Jul 23 13:36:00 2019,Pre & Post-Run Stretch,Chase Tucker,5.0
