Original Air Date,Title,Instructor,Length,Type
Sun May 31 06:51:00 2020,30 min My Mixtape Ride: Live from Home,Jenn Sherman,30.0,Theme
Sun May 31 01:25:00 2020,20 min Recovery Ride,Ben Alldis,20.0,Low Impact
Sun May 31 01:00:00 2020,20 min Tabata Ride,Ben Alldis,20.0,Intervals
Sat May 30 15:38:00 2020,15 min Hip Hop Ride ,Hannah Corbin,15.0,Theme
Sat May 30 14:51:00 2020,30 min Intervals & Arms Ride,Hannah Corbin,30.0,Intervals
Sat May 30 14:04:00 2020,20 min Hip Hop Ride ,Kendall Toole,20.0,Theme
Sat May 30 14:00:00 2020,20 min Classic Rock Ride ,Christine D'Ercole,20.0,Theme
Sat May 30 13:20:00 2020,30 min HIIT & Hills Ride ,Kendall Toole,30.0,Intervals
Sat May 30 12:04:00 2020,20 min 80s Ride ,Denis Morton,20.0,Theme
Sat May 30 11:19:00 2020,30 min Classic Rock Ride ,Denis Morton,30.0,Theme
Sat May 30 10:00:00 2020,30 min Disco Ride: Live From Home  ,Jess King,30.0,Theme
Sat May 30 10:00:00 2020,5 min Peloton All-Star Cool Down Ride,Alex Toussaint,5.0,Theme
Sat May 30 09:35:00 2020,5 min Peloton All-Star Cool Down Ride,Robin Arzon,5.0,Theme
Sat May 30 09:35:00 2020,20 min Peloton All-Star Ride,Alex Toussaint,20.0,Theme
Sat May 30 09:20:00 2020,5 min Peloton All-Star Warm Up Ride,Alex Toussaint,5.0,Theme
Sat May 30 09:10:00 2020,20 min Peloton All-Star Ride,Robin Arzon,20.0,Theme
Sat May 30 09:00:00 2020,5 min Peloton All-Star Warm Up Ride,Robin Arzon,5.0,Theme
Sat May 30 08:00:00 2020,30 min Hip Hop Ride,Hannah Frankson,30.0,Theme
Sat May 30 07:00:00 2020,30 min Together We Ride: Live From Home ,Robin Arzon,30.0,Theme
Sat May 30 02:49:00 2020,30 min AHM Celebration Ride,Sam Yo,30.0,Theme
Sat May 30 01:25:00 2020,20 min Low Impact Ride,Leanne Hainsby,20.0,Low Impact
Sat May 30 01:00:00 2020,20 min HIIT Ride,Leanne Hainsby,20.0,Intervals
