Sat Jun 13 14:49:00 2020,Theme,cycling,Kendall Toole,20.0
Sat Jun 13 14:03:00 2020,Groove,cycling,Emma Lovewell,20.0
Sat Jun 13 14:00:00 2020,Power Zone,cycling,Matt Wilpers,30.0
Sat Jun 13 13:17:00 2020,Theme,cycling,Emma Lovewell,30.0
Sat Jun 13 11:51:00 2020,Theme (Bootcamp),circuit,Jess Sims,60.0
Sat Jun 13 09:49:00 2020,Theme,cycling,Jess King,30.0
Sat Jun 13 08:00:00 2020,Intervals,cycling,Hannah Frankson,30.0
Sat Jun 13 06:52:00 2020,Theme,cycling,Robin Arzon,30.0
Sat Jun 13 05:18:00 2020,Yoga Flow,yoga,Ross Rayburn,30.0
Sat Jun 13 04:54:00 2020,Fun Run,running,Matty Maggiacomo,20.0
Sat Jun 13 03:00:00 2020,Theme,cycling,Erik Jäger,20.0
Sat Jun 13 01:51:00 2020,Intervals,cycling,Sam Yo,30.0
Sat Jun 13 01:25:00 2020,Theme,cycling,Leanne Hainsby,20.0
Sat Jun 13 01:00:00 2020,Intervals,cycling,Leanne Hainsby,20.0
Fri Jun 12 15:36:00 2020,Upper Body (strength & toning),strength,Cody Rigsby,10.0
Fri Jun 12 15:05:00 2020,Yoga Flow,yoga,Anna Greenberg,10.0
Fri Jun 12 14:52:00 2020,Theme,cycling,Cody Rigsby,30.0
Fri Jun 12 14:18:00 2020,Yoga Flow,yoga,Anna Greenberg,30.0
Fri Jun 12 14:05:00 2020,Theme,cycling,Christine D'Ercole,15.0
Fri Jun 12 14:00:00 2020,Intervals,cycling,Robin Arzon,30.0
Fri Jun 12 13:21:00 2020,Climb,cycling,Christine D'Ercole,30.0
Fri Jun 12 13:00:00 2020,Intervals,cycling,Tunde Oyeneyin,30.0
Fri Jun 12 12:20:00 2020,Yoga Flow,yoga,Chelsea Jackson Roberts,45.0
Fri Jun 12 11:20:00 2020,Yoga Flow,yoga,Aditi Shah,30.0
Fri Jun 12 09:25:00 2020,Theme,cycling,Jess King,30.0
Fri Jun 12 07:51:00 2020,Lower Body (Strength & Toning),strength,Andy Speer,20.0
Fri Jun 12 07:00:00 2020,Theme,cycling,Sam Yo,30.0
Fri Jun 12 07:00:00 2020,Body Focus (Bootcamp),circuit,Chase Tucker,30.0
Fri Jun 12 07:00:00 2020,Relax & Sleep,meditation,Chelsea Jackson Roberts,5.0
Fri Jun 12 05:54:00 2020,Theme,cycling,Ally Love,30.0
Fri Jun 12 04:51:00 2020,Intervals,cycling,Hannah Frankson,45.0
Thu Jun 11 15:38:00 2020,Upper Body (strength & toning),strength,Emma Lovewell,10.0
Thu Jun 11 15:04:00 2020,Restorative Yoga,yoga,Denis Morton,10.0
Thu Jun 11 14:50:00 2020,Intervals,cycling,Emma Lovewell,30.0
Thu Jun 11 14:19:00 2020,Yoga,yoga,Denis Morton,30.0
Thu Jun 11 14:00:00 2020,Low Impact,cycling,Jess King,20.0
Thu Jun 11 13:19:00 2020,Theme,cycling,Denis Morton,30.0
